report_date,in_pt_adult,in_pt_adult_avg,in_pt_peds,in_pt_peds_avg,in_pt_pct,in_pt_pct_avg,icu_adult,icu_adult_avg,mortality,mortality_avg,new_in_pt_adult,new_in_pt_adult_avg,new_in_pt_peds,new_in_pt_peds_avg
2021-08-15,2291,2301.1428571428573,73,69.42857142857143,0.176510117225416,0.17437329177145958,695,715.8571428571429,34,36.142857142857146,379,435.2857142857143,24,33.857142857142854
2021-08-16,2304,2315.5714285714284,71,69.14285714285714,0.19589244473771,0.1755176710675823,695,712.5714285714286,46,38.285714285714285,428,431,33,34.42857142857143
2021-08-17,2336,2325.5714285714284,69,70,0.189146677152969,0.17664041635980385,704,710.2857142857143,35,37.285714285714285,420,428.85714285714283,37,34.285714285714285
2021-08-18,2380,2338.5714285714284,76,71.14285714285714,0.169988925802879,0.17772367452418042,721,710.2857142857143,30,37,473,430.2857142857143,40,33.714285714285715
2021-08-19,2393,2346.285714285714,74,71.71428571428571,0.170797563001939,0.17840569322220287,723,710.7142857142857,38,37.714285714285715,448,428.7142857142857,34,32.714285714285715
2021-08-20,2378,2349.1428571428573,77,72.42857142857143,0.170569026610158,0.178415213362213,717,710,31,36.285714285714285,372,415.42857142857144,36,33
2021-08-21,2313,2342.1428571428573,60,71.42857142857143,0.170780856423174,0.17766937299346358,714,709.8571428571429,21,33.57142857142857,326,406.57142857142856,26,32.857142857142854
2021-08-22,2310,2344.8571428571427,68,70.71428571428571,0.174878658626269,0.17743630747929973,705,711.2857142857143,35,33.714285714285715,385,407.42857142857144,17,31.857142857142858
2021-08-23,2298,2344,54,68.28571428571429,0.194831013916501,0.17728467450484128,713,713.8571428571429,36,32.285714285714285,423,406.7142857142857,38,32.57142857142857
2021-08-24,2328,2342.8571428571427,67,68,0.19082144849016,0.17752392755301144,715,715.4285714285714,30,31.571428571428573,408,405,30,31.571428571428573
2021-08-25,2316,2333.714285714286,68,66.85714285714286,0.166935088579231,0.1770876650924903,718,715,38,32.714285714285715,389,393,31,30.285714285714285
2021-08-26,2280,2317.5714285714284,59,64.71428571428571,0.162871666318502,0.17595539413771358,708,712.8571428571429,33,32,398,385.85714285714283,46,32
2021-08-27,2254,2299.8571428571427,69,63.57142857142857,0.160472506217187,0.17451303408157487,713,712.2857142857143,38,33,388,388.14285714285717,23,30.142857142857142
2021-08-28,2178,2280.5714285714284,63,64,0.161350709194326,0.17316587019173943,683,707.8571428571429,30,34.285714285714285,326,388.14285714285717,25,30
2021-08-29,2148,2257.4285714285716,61,63,0.162378712143487,0.171380163551342,674,703.4285714285714,34,34.142857142857146,307,377,25,31.142857142857142
2021-08-30,2166,2238.5714285714284,49,62.285714285714285,0.185061408638984,0.16998450565455386,646,693.8571428571429,49,36,383,371.2857142857143,48,32.57142857142857
2021-08-31,2168,2215.714285714286,76,63.57142857142857,0.17899018904044,0.1682943257331653,648,684.2857142857143,28,35.714285714285715,372,366.14285714285717,40,34
2021-09-01,2135,2189.8571428571427,78,65,0.156639297848245,0.16682349848588157,622,670.5714285714286,31,34.714285714285715,409,369,44,35.857142857142854
2021-09-02,2082,2161.5714285714284,73,67,0.151707145371348,0.16522856692200244,633,659.8571428571429,30,34.285714285714285,372,365.2857142857143,30,33.57142857142857
2021-09-03,2055,2133.1428571428573,73,67.57142857142857,0.151707421401583,0.16397641194834472,637,649,33,33.57142857142857,353,360.2857142857143,29,34.42857142857143
2021-09-04,1943,2099.5714285714284,61,67.28571428571429,0.148830300779799,0.16218778217484087,595,636.4285714285714,32,33.857142857142854,337,361.85714285714283,23,34.142857142857146
2021-09-05,1918,2066.714285714286,54,66.28571428571429,0.151377907423044,0.160616238643349,599,625.7142857142857,26,32.714285714285715,275,357.2857142857143,25,34.142857142857146
2021-09-06,1894,2027.857142857143,65,68.57142857142857,0.169434353918007,0.158383802254638,600,619.1428571428571,22,28.857142857142858,341,351.2857142857143,25,30.857142857142858
2021-09-07,1974,2000.142857142857,61,66.42857142857143,0.171209826686858,0.157272321918412,604,612.8571428571429,29,29,409,356.57142857142856,36,30.285714285714285
