zip,count
62421,131
62422,194
62423,94
62424,461
62425,93
62426,167
62427,215
62428,533
62431,204
62432,122
62433,151
62434,54
62436,108
62438,53
62439,1226
62440,201
62441,1312
62442,418
62443,304
62444,72
62445,172
62446,68
62447,635
62448,1118
62449,539
62450,2323
62451,323
62452,67
62454,2149
62458,533
62459,36
62460,169
62461,192
62462,166
62463,200
62464,16
62465,136
62466,1397
62467,730
62468,479
62469,104
62471,2226
62473,276
62474,142
62475,41
62476,247
62477,122
62478,59
62479,150
62480,93
62481,47
62501,380
62510,218
62512,57
62513,191
62514,28
62515,114
62517,30
62518,55
62519,14
62520,193
62521,5304
62522,2058
62523,121
62524,29
62525,21
62526,4859
62530,193
62531,254
62532,15
62533,142
62534,187
62535,622
62536,97
62537,24
62538,47
62539,169
62540,231
62541,7
62543,58
62544,276
62545,163
62546,237
62547,101
62548,334
62549,1094
62550,461
62551,105
62553,75
62554,242
62555,61
62556,54
62557,1260
62558,480
62560,245
62561,743
62563,784
62565,1342
62567,163
62568,2845
62570,73
62571,207
62572,65
62573,214
62601,60
62610,22
62611,153
62612,337
62613,591
62615,908
62617,119
62618,1745
62620,7
62621,146
62624,60
62625,150
62626,1539
62627,193
62628,123
62629,1889
62630,79
62631,39
62633,112
62634,122
62635,142
62638,194
62639,50
62640,487
62642,190
62643,78
62644,842
62649,80
62650,4017
62651,14
62655,69
62656,3690
62661,144
62663,29
62664,468
62665,182
62666,81
62667,72
62668,206
62670,487
62671,72
62672,36
62673,71
62674,186
62675,907
62677,339
62681,920
62682,144
62684,1025
62685,280
62688,94
62689,76
62690,581
62691,418
62692,243
62693,261
62694,475
62695,83
62701,127
62702,4516
62703,4126
62704,4549
62705,21
62707,1065
62708,36
62711,2456
62712,1406
62781,8
62791,35
62801,4080
62803,157
62806,576
62807,165
62808,216
62809,57
62810,163
62811,50
62812,2174
62814,283
62815,66
62816,212
62817,83
62818,51
62819,85
62820,26
62821,1547
62822,534
62823,376
62824,302
62825,44
62827,187
62828,242
62830,239
62831,79
62832,1795
62833,60
62835,240
62836,125
62837,1735
62838,322
62839,1486
62841,38
62842,140
62843,21
62844,394
62846,512
62848,93
62849,383
62850,40
62851,54
62852,30
62853,158
62854,283
62856,55
62858,571
62859,982
62860,93
62861,8
62862,68
62863,1935
62864,4373
62865,395
62867,81
62868,319
62869,503
62870,444
62871,100
62872,181
62874,81
62875,223
62876,32
62877,61
62878,73
62880,137
62881,2159
62882,445
62883,99
62884,584
62885,153
62886,56
62887,61
62888,317
62889,141
62890,499
62891,107
62892,64
62893,158
62894,185
62895,345
62896,2356
62897,78
62898,333
62899,251
62901,3522
62902,564
62903,291
62905,105
62906,1515
62907,324
62908,100
62910,364
62912,163
62914,291
62915,117
62916,147
62917,539
62918,1925
62919,149
62920,529
62921,57
62922,510
62923,87
62924,441
62926,327
62927,42
62928,29
62930,1013
62931,238
62932,304
62933,246
62934,149
62935,378
62938,385
62939,591
62940,56
62941,125
62942,116
62943,88
62946,2279
62947,67
62948,2337
62949,140
62950,33
62951,945
62952,596
62953,54
62954,54
62956,163
62957,107
62958,244
62959,5147
62960,1708
62963,68
62964,231
62965,13
62966,2473
62967,88
62969,54
62970,92
62972,222
62974,245
62975,26
62976,79
62977,98
62979,187
62982,247
62983,260
62984,248
62985,172
62987,223
62988,180
62990,157
62992,256
62994,137
62995,1065
62996,99
62997,78
62998,57
62999,228
91761,20
