report_date,zip,cases
2020-10-27,61356,284
2020-10-27,61360,46
2020-10-27,61361,34
2020-10-27,61362,184
2020-10-27,61363,7
2020-10-27,61364,475
2020-10-27,61367,32
2020-10-27,61368,32
2020-10-27,61369,19
2020-10-27,61370,17
2020-10-27,61373,45
2020-10-27,61375,13
2020-10-27,61376,42
2020-10-27,61377,24
2020-10-27,61378,7
2020-10-27,61379,38
2020-10-27,61401,946
2020-10-27,61410,56
2020-10-27,61412,28
2020-10-27,61413,21
2020-10-27,61414,11
2020-10-27,61415,18
2020-10-27,61417,7
2020-10-27,61418,7
2020-10-27,61420,20
2020-10-27,61421,28
2020-10-27,61422,88
2020-10-27,61423,22
2020-10-27,61425,7
2020-10-27,61427,37
2020-10-27,61428,35
2020-10-27,61430,15
2020-10-27,61431,8
2020-10-27,61432,11
2020-10-27,61434,33
2020-10-27,61436,13
2020-10-27,61437,12
2020-10-27,61438,12
2020-10-27,61439,8
2020-10-27,61441,29
2020-10-27,61442,22
2020-10-27,61443,221
2020-10-27,61447,19
2020-10-27,61448,115
2020-10-27,61450,27
2020-10-27,61451,8
2020-10-27,61453,10
2020-10-27,61454,21
2020-10-27,61455,587
2020-10-27,61458,13
2020-10-27,61460,6
2020-10-27,61462,374
2020-10-27,61465,13
2020-10-27,61466,8
2020-10-27,61467,24
2020-10-27,61469,40
2020-10-27,61472,16
2020-10-27,61473,34
2020-10-27,61476,10
2020-10-27,61477,8
2020-10-27,61478,10
2020-10-27,61480,23
2020-10-27,61482,9
2020-10-27,61483,26
2020-10-27,61484,13
2020-10-27,61485,9
2020-10-27,61486,21
2020-10-27,61488,24
2020-10-27,61489,16
2020-10-27,61490,18
2020-10-27,61491,32
2020-10-27,61501,16
2020-10-27,61517,63
2020-10-27,61519,6
2020-10-27,61520,246
2020-10-27,61523,282
2020-10-27,61525,288
2020-10-27,61526,13
2020-10-27,61528,60
2020-10-27,61529,44
2020-10-27,61530,90
2020-10-27,61531,50
2020-10-27,61533,36
2020-10-27,61534,28
2020-10-27,61535,36
2020-10-27,61536,52
2020-10-27,61537,61
2020-10-27,61540,18
2020-10-27,61542,82
2020-10-27,61544,6
2020-10-27,61545,12
2020-10-27,61546,34
2020-10-27,61547,79
2020-10-27,61548,252
2020-10-27,61550,435
2020-10-27,61554,923
2020-10-27,61559,46
2020-10-27,61561,18
2020-10-27,61564,17
2020-10-27,61565,14
2020-10-27,61567,11
2020-10-27,61568,115
2020-10-27,61569,17
2020-10-27,61570,12
2020-10-27,61571,456
2020-10-27,61572,13
2020-10-27,61602,46
2020-10-27,61603,441
2020-10-27,61604,791
2020-10-27,61605,356
2020-10-27,61606,271
2020-10-27,61607,241
2020-10-27,61610,94
2020-10-27,61611,514
2020-10-27,61614,728
2020-10-27,61615,545
2020-10-27,61616,153
2020-10-27,61625,54
2020-10-27,61701,729
2020-10-27,61704,729
2020-10-27,61705,250
2020-10-27,61723,24
2020-10-27,61724,9
2020-10-27,61725,19
2020-10-27,61726,37
2020-10-27,61727,180
2020-10-27,61728,6
2020-10-27,61729,30
2020-10-27,61732,37
2020-10-27,61733,11
2020-10-27,61734,44
2020-10-27,61735,9
2020-10-27,61736,27
2020-10-27,61738,97
2020-10-27,61739,86
2020-10-27,61740,31
2020-10-27,61741,36
2020-10-27,61742,15
2020-10-27,61743,6
2020-10-27,61744,26
2020-10-27,61745,73
2020-10-27,61747,14
2020-10-27,61748,44
2020-10-27,61749,6
2020-10-27,61752,60
2020-10-27,61753,33
2020-10-27,61754,10
2020-10-27,61755,69
2020-10-27,61756,39
2020-10-27,61759,14
2020-10-27,61760,29
2020-10-27,61761,NA
2020-10-27,61764,244
2020-10-27,61770,13
2020-10-27,61771,13
2020-10-27,61774,14
2020-10-27,61776,18
2020-10-27,61777,26
2020-10-27,61790,39
2020-10-27,61801,572
2020-10-27,61802,438
2020-10-27,61811,8
2020-10-27,61812,7
2020-10-27,61813,25
2020-10-27,61814,24
2020-10-27,61816,9
2020-10-27,61817,95
2020-10-27,61818,35
2020-10-27,61820,NA
2020-10-27,61821,635
2020-10-27,61822,483
2020-10-27,61832,851
2020-10-27,61833,48
2020-10-27,61834,205
2020-10-27,61840,7
2020-10-27,61841,27
2020-10-27,61842,31
2020-10-27,61843,54
2020-10-27,61844,17
2020-10-27,61845,9
2020-10-27,61846,83
2020-10-27,61847,21
2020-10-27,61849,21
2020-10-27,61850,6
2020-10-27,61851,6
2020-10-27,61853,249
2020-10-27,61854,21
2020-10-27,61856,121
2020-10-27,61858,73
2020-10-27,61859,18
2020-10-27,61862,7
2020-10-27,61863,17
2020-10-27,61864,36
2020-10-27,61865,33
2020-10-27,61866,507
2020-10-27,61870,14
2020-10-27,61871,10
2020-10-27,61872,8
2020-10-27,61873,138
2020-10-27,61874,150
2020-10-27,61875,10
2020-10-27,61876,19
2020-10-27,61877,35
2020-10-27,61878,26
2020-10-27,61880,93
2020-10-27,61882,11
2020-10-27,61883,109
2020-10-27,61884,17
2020-10-27,61910,332
2020-10-27,61911,119
2020-10-27,61912,31
2020-10-27,61913,37
2020-10-27,61914,42
2020-10-27,61919,10
