report_date,geoid,county,state,first_dose,first_dose_rate,second_dose,second_dose_rate,total_dose,total_dose_rate,prior_week_dose,prior_week_rate
2021-02-26,29187,St. Francois,Missouri,7712,115.72108098374923,3325,49.89271191272902,11037,165.61379289647826,1246,18.696637306243716
2021-02-26,29189,St. Louis,Missouri,118911,119.27849704940922,66322,66.526969593317,185233,185.80546664272623,34569,34.67583625149084
2021-02-26,29510,St. Louis City,Missouri,26194,84.99743651313868,16525,53.62230428264552,42719,138.6197407957842,6397,20.75775373652547
2021-02-26,29186,Ste. Genevieve,Missouri,2597,145.50649932765575,1003,56.1967727476468,3600,201.70327207530255,250,14.007171671896012
2021-02-26,29207,Stoddard,Missouri,3346,113.89862817850698,1564,53.23892841338462,4910,167.1375565918916,374,12.731048098852844
2021-02-26,29209,Stone,Missouri,3484,110.20085402498813,952,30.11228847066266,4436,140.3131424956508,589,18.63039696346671
2021-02-26,29211,Sullivan,Missouri,725,116.05570673923484,184,29.45413798623339,909,145.5098447254682,72,11.52553225548263
2021-02-26,29213,Taney,Missouri,4674,84.80603839314875,2004,36.360997205791634,6678,121.16703559894037,848,15.38629023478608
2021-02-26,29215,Texas,Missouri,2075,81.04202468364318,428,16.71613810342134,2503,97.75816278706452,263,10.271832526167787
2021-02-26,29217,Vernon,Missouri,1921,93.27506676377762,624,30.29861616897305,2545,123.57368293275067,203,9.856761349842195
2021-02-26,29219,Warren,Missouri,2716,78.83203204365367,1321,38.34208922299945,4037,117.17412126665312,901,26.151568803877744
2021-02-26,29221,Washington,Missouri,2335,93.92598551890586,848,34.11102172164119,3183,128.03700724054707,251,10.096540627514079
2021-02-26,29223,Wayne,Missouri,1462,110.7995452823039,479,36.301629405077684,1941,147.1011746873816,233,17.658203865100415
2021-02-26,29225,Webster,Missouri,3797,98.22791359461907,1413,36.554132712456344,5210,134.7820463070754,325,8.40770922261027
2021-02-26,29227,Worth,Missouri,390,192.40256536753824,209,103.10804144055254,599,295.51060680809076,131,64.6275283670449
2021-02-26,29229,Wright,Missouri,1570,86.24951931000383,444,24.39158380486733,2014,110.64110311487117,183,10.053287919573696
