report_date,geoid,county,state,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-05-09,29165,Platte,Missouri,14632,285.7924137661628,12422,242.62666510410563,1330,25.97757724911129
2021-05-09,29167,Polk,Missouri,8191,259.62788043995056,6704,212.49484928206917,306,9.699198072839076
2021-05-09,29169,Pulaski,Missouri,5785,109.99980985339697,4587,87.22024681029073,349,6.636116445779696
2021-05-09,29171,Putnam,Missouri,1157,240.29075804776738,1007,209.1381100726895,50,10.384215991692628
2021-05-09,29173,Ralls,Missouri,2083,203.87589311931094,1881,184.10492316727021,120,11.745130664578644
2021-05-09,29175,Randolph,Missouri,5906,236.7608739226298,4032,161.63559831629584,291,11.665664461815995
2021-05-09,29177,Ray,Missouri,5596,245.1697699890471,4763,208.67469879518072,423,18.532311062431546
2021-05-09,29179,Reynolds,Missouri,891,141.09263657957243,732,115.91448931116389,50,7.91765637371338
2021-05-09,29181,Ripley,Missouri,2327,169.9408456875776,1979,144.52640035054407,87,6.35361133425838
2021-05-09,29195,Saline,Missouri,7365,318.8035667907541,6594,285.4298329148991,362,15.669638992295042
2021-05-09,29197,Schuyler,Missouri,747,165.92625499777878,673,149.48911594846734,18,3.9982230119946687
2021-05-09,29199,Scotland,Missouri,892,182.11514904042465,798,162.92364230298082,12,2.449979583503471
2021-05-09,29201,Scott,Missouri,12063,311.4720235482455,10601,273.7225335020269,491,12.677838312375739
2021-05-09,29203,Shannon,Missouri,1500,181.90637885035167,1278,154.98423478049963,40,4.8508367693427115
2021-05-09,29205,Shelby,Missouri,1973,325.5238409503382,1796,296.32073915195514,98,16.16894901831381
2021-05-09,29183,St. Charles,Missouri,163215,418.51609677295284,130961,335.81035168019287,14745,37.809146505634835
2021-05-09,29185,St. Clair,Missouri,2104,224.23531919428754,1742,185.65490781200043,71,7.5668762655867
2021-05-09,29187,St. Francois,Missouri,19015,286.6208435078834,14992,225.9805251575171,1155,17.409785656145427
2021-05-09,29189,St. Louis,Missouri,410240,410.7805872528247,314962,315.3770361796124,34040,34.0848556700618
2021-05-09,29510,St. Louis City,Missouri,97482,313.1720386927231,73297,235.47496891795947,8339,26.789988209706593
