report_date,geoid,short_name,full_name,cases,case_rate,new_cases,case_avg,case_avg_rate,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2021-04-10,17860,Columbia,"Columbia, MO Metro Area",26465,149.93060079879896,7,22.428571428571427,12.706326050801025,208,1.178370110188936,1,0.14285714285714285,0.7859436992253921
2021-04-11,17860,Columbia,"Columbia, MO Metro Area",26468,149.94759652154207,3,22,12.463530011613743,208,1.178370110188936,0,0.14285714285714285,0.7858546168958742
2021-04-12,17860,Columbia,"Columbia, MO Metro Area",26501,150.13454947171627,33,21.857142857142858,12.382597998551317,208,1.178370110188936,0,0.14285714285714285,0.7848760424134938
2021-04-13,17860,Columbia,"Columbia, MO Metro Area",26513,150.20253236268871,12,20.142857142857142,11.411413841802194,210,1.1897005920176755,2,0.42857142857142855,0.7920642703579376
2021-04-14,17860,Columbia,"Columbia, MO Metro Area",26531,150.3045066991474,18,17.857142857142858,10.116501632803363,210,1.1897005920176755,0,0.42857142857142855,0.7915268930684859
2021-04-15,17860,Columbia,"Columbia, MO Metro Area",26553,150.42914199926352,22,16.857142857142858,9.549977541366376,210,1.1897005920176755,0,0.42857142857142855,0.7908710880126538
2021-04-16,17860,Columbia,"Columbia, MO Metro Area",26578,150.57077302212278,25,17.142857142857142,9.711841567491229,210,1.1897005920176755,0,0.42857142857142855,0.7901271728497253
2021-04-17,17860,Columbia,"Columbia, MO Metro Area",26367,149.3754071891907,-211,-14,-7.9313372801178375,210,1.1897005920176755,0,0.2857142857142857,0.7964501080896574
2021-04-18,17860,Columbia,"Columbia, MO Metro Area",26370,149.39240291193383,3,-14,-7.9313372801178375,210,1.1897005920176755,0,0.2857142857142857,0.7963594994311717
2021-04-19,17860,Columbia,"Columbia, MO Metro Area",26400,149.56236013936493,30,-14.428571428571429,-8.174133319305119,210,1.1897005920176755,0,0.2857142857142857,0.7954545454545454
2021-04-20,17860,Columbia,"Columbia, MO Metro Area",26403,149.57935586210806,3,-15.714285714285714,-8.902521436866959,211,1.1953658329320456,1,0.14285714285714285,0.7991516115592925
2021-04-21,17860,Columbia,"Columbia, MO Metro Area",26424,149.6983259213098,21,-15.285714285714286,-8.65972539767968,212,1.2010310738464154,1,0.2857142857142857,0.8023009385407206
2021-04-22,17860,Columbia,"Columbia, MO Metro Area",26446,149.82296122142594,22,-15.285714285714286,-8.65972539767968,212,1.2010310738464154,0,0.2857142857142857,0.8016335173561219
2021-04-23,17860,Columbia,"Columbia, MO Metro Area",26485,150.04390561708635,39,-13.285714285714286,-7.526677214805703,212,1.2010310738464154,0,0.2857142857142857,0.8004530866528223
