report_date,new_in_pt,new_in_pt_avg,in_pt,in_pt_avg,icu,icu_avg,vent,vent_avg,mortality,mortality_avg
2021-02-12,35,44.57142857142857,381,426.57142857142856,93,93.57142857142857,59,64.28571428571429,7,5.857142857142857
2021-02-13,36,43.42857142857143,362,415.2857142857143,89,93.28571428571429,54,63.285714285714285,7,5.285714285714286
2021-02-14,37,42.714285714285715,351,402,87,93.42857142857143,57,62,7,6.142857142857143
2021-02-15,47,42.285714285714285,373,390.57142857142856,86,92.14285714285714,57,60.42857142857143,7,6.285714285714286
2021-02-16,39,41.857142857142854,369,379.57142857142856,85,91.71428571428571,56,58.714285714285715,5,6.285714285714286
2021-02-17,51,43.285714285714285,355,370.14285714285717,88,89.71428571428571,61,58.142857142857146,7,6.714285714285714
2021-02-18,45,41.42857142857143,342,361.85714285714283,80,86.85714285714286,59,57.57142857142857,7,6.714285714285714
2021-02-19,48,43.285714285714285,340,356,81,85.14285714285714,58,57.42857142857143,6,6.571428571428571
2021-02-20,42,44.142857142857146,317,349.57142857142856,72,82.71428571428571,57,57.857142857142854,7,6.571428571428571
2021-02-21,41,44.714285714285715,337,347.57142857142856,73,80.71428571428571,56,57.714285714285715,5,6.285714285714286
2021-02-22,47,44.714285714285715,367,346.7142857142857,83,80.28571428571429,58,57.857142857142854,3,5.714285714285714
2021-02-23,54,46.857142857142854,363,345.85714285714283,81,79.71428571428571,54,57.57142857142857,5,5.714285714285714
2021-02-24,39,45.142857142857146,366,347.42857142857144,78,78.28571428571429,54,56.57142857142857,6,5.571428571428571
2021-02-25,30,43,331,345.85714285714283,75,77.57142857142857,51,55.42857142857143,4,5.142857142857143
2021-02-26,37,41.42857142857143,328,344.14285714285717,72,76.28571428571429,52,54.57142857142857,2,4.571428571428571
2021-02-27,38,40.857142857142854,303,342.14285714285717,69,75.85714285714286,48,53.285714285714285,5,4.285714285714286
2021-02-28,30,39.285714285714285,306,337.7142857142857,72,75.71428571428571,48,52.142857142857146,6,4.428571428571429
2021-03-01,23,35.857142857142854,305,328.85714285714283,73,74.28571428571429,48,50.714285714285715,8,5.142857142857143
2021-03-02,30,32.42857142857143,304,320.42857142857144,69,72.57142857142857,50,50.142857142857146,1,4.571428571428571
2021-03-03,40,32.57142857142857,260,305.2857142857143,71,71.57142857142857,50,49.57142857142857,2,4
2021-03-04,46,34.857142857142854,264,295.7142857142857,70,70.85714285714286,47,49,5,4.142857142857143
2021-03-05,34,34.42857142857143,262,286.2857142857143,66,70,41,47.42857142857143,4,4.428571428571429
2021-03-06,28,33,279,282.85714285714283,64,69.28571428571429,47,47.285714285714285,1,3.857142857142857
2021-03-07,33,33.42857142857143,258,276,52,66.42857142857143,44,46.714285714285715,8,4.142857142857143
2021-03-08,39,35.714285714285715,263,270,59,64.42857142857143,41,45.714285714285715,6,3.857142857142857
2021-03-09,42,37.42857142857143,251,262.42857142857144,65,63.857142857142854,39,44.142857142857146,6,4.571428571428571
2021-03-10,41,37.57142857142857,258,262.14285714285717,66,63.142857142857146,42,43,3,4.714285714285714
2021-03-11,40,36.714285714285715,250,260.14285714285717,69,63,46,42.857142857142854,6,4.857142857142857
2021-03-12,39,37.42857142857143,251,258.57142857142856,73,64,49,44,4,4.857142857142857
2021-03-13,30,37.714285714285715,252,254.71428571428572,68,64.57142857142857,40,43,2,5
2021-03-14,27,36.857142857142854,258,254.71428571428572,73,67.57142857142857,45,43.142857142857146,1,4
2021-03-15,42,37.285714285714285,267,255.28571428571428,72,69.42857142857143,45,43.714285714285715,1,3.2857142857142856
2021-03-16,28,35.285714285714285,263,257,74,70.71428571428571,47,44.857142857142854,1,2.5714285714285716
2021-03-17,53,37,267,258.2857142857143,65,70.57142857142857,37,44.142857142857146,2,2.4285714285714284
2021-03-18,41,37.142857142857146,273,261.57142857142856,75,71.42857142857143,43,43.714285714285715,3,2
2021-03-19,27,35.42857142857143,265,263.57142857142856,66,70.42857142857143,39,42.285714285714285,5,2.142857142857143
2021-03-20,21,34.142857142857146,254,263.85714285714283,64,69.85714285714286,40,42.285714285714285,3,2.2857142857142856
2021-03-21,25,33.857142857142854,238,261,63,68.42857142857143,41,41.714285714285715,5,2.857142857142857
2021-03-22,48,34.714285714285715,233,256.14285714285717,60,66.71428571428571,41,41.142857142857146,8,3.857142857142857
2021-03-23,45,37.142857142857146,233,251.85714285714286,63,65.14285714285714,38,39.857142857142854,1,3.857142857142857
2021-03-24,35,34.57142857142857,245,248.71428571428572,66,65.28571428571429,37,39.857142857142854,4,4.142857142857143
2021-03-25,40,34.42857142857143,242,244.28571428571428,55,62.42857142857143,39,39.285714285714285,6,4.571428571428571
2021-03-26,35,35.57142857142857,247,241.71428571428572,62,61.857142857142854,36,38.857142857142854,4,4.428571428571429
2021-03-27,28,36.57142857142857,254,241.71428571428572,59,61.142857142857146,35,38.142857142857146,5,4.714285714285714
2021-03-28,30,37.285714285714285,258,244.57142857142858,65,61.42857142857143,36,37.42857142857143,4,4.571428571428571
2021-03-29,35,35.42857142857143,243,246,59,61.285714285714285,36,36.714285714285715,5,4.142857142857143
2021-03-30,38,34.42857142857143,250,248.42857142857142,68,62,39,36.857142857142854,6,4.857142857142857
2021-03-31,37,34.714285714285715,238,247.42857142857142,58,60.857142857142854,40,37.285714285714285,7,5.285714285714286
2021-04-01,37,34.285714285714285,245,247.85714285714286,58,61.285714285714285,38,37.142857142857146,4,5
2021-04-02,33,34,235,246.14285714285714,56,60.42857142857143,38,37.42857142857143,5,5.142857142857143
2021-04-03,21,33,210,239.85714285714286,53,59.57142857142857,32,37,3,4.857142857142857
2021-04-04,39,34.285714285714285,229,235.71428571428572,50,57.42857142857143,34,36.714285714285715,4,4.857142857142857
2021-04-05,48,36.142857142857146,234,234.42857142857142,50,56.142857142857146,31,36,0,4.142857142857143
2021-04-06,54,38.42857142857143,260,235.85714285714286,53,54,29,34.57142857142857,2,3.5714285714285716
2021-04-07,34,38,279,241.71428571428572,55,53.57142857142857,37,34.142857142857146,4,3.142857142857143
2021-04-08,34,37.57142857142857,271,245.42857142857142,52,52.714285714285715,37,34,3,3
