report_date,peds_in_pt_0_11,peds_in_pt_0_11_avg,peds_in_pt_12_17,peds_in_pt_12_17_avg,peds_in_pt,peds_in_pt_avg,peds_icu_0_11,peds_icu_0_11_avg,peds_icu_12_17,peds_icu_12_17_avg,peds_icu,peds_icu_avg
2021-12-10,7,5.428571428571429,10,7.571428571428571,17,13,1,0.42857142857142855,0,0.8571428571428571,1,1.2857142857142858
2021-12-13,8,5.571428571428571,13,8.285714285714286,21,13.857142857142858,1,0.42857142857142855,2,1.1428571428571428,3,1.5714285714285714
2021-12-14,9,6,10,8.857142857142858,19,14.857142857142858,1,0.5714285714285714,3,1.4285714285714286,4,2
2021-12-15,6,6.285714285714286,17,10.142857142857142,23,16.428571428571427,2,0.7142857142857143,5,2,7,2.7142857142857144
2021-12-16,7,6.428571428571429,12,11,19,17.428571428571427,1,0.8571428571428571,4,2.4285714285714284,5,3.2857142857142856
2021-12-17,4,6.571428571428571,14,12,18,18.571428571428573,1,1,4,2.7142857142857144,5,3.7142857142857144
2021-12-20,7,6.857142857142857,11,12.428571428571429,18,19.285714285714285,2,1.2857142857142858,3,3,5,4.285714285714286
2021-12-21,4,6.428571428571429,7,12,11,18.428571428571427,1,1.2857142857142858,3,3.4285714285714284,4,4.714285714285714
2021-12-22,6,6.142857142857143,10,11.571428571428571,16,17.714285714285715,2,1.4285714285714286,4,3.7142857142857144,6,5.142857142857143
2021-12-27,8,6,11,11.714285714285714,19,17.714285714285715,1,1.4285714285714286,3,3.7142857142857144,4,5.142857142857143
2021-12-28,7,6.142857142857143,11,10.857142857142858,18,17,2,1.4285714285714286,2,3.2857142857142856,4,4.714285714285714
2021-12-29,12,6.857142857142857,16,11.428571428571429,28,18.285714285714285,5,2,1,2.857142857142857,6,4.857142857142857
2021-12-30,13,8.142857142857142,13,11.285714285714286,26,19.428571428571427,7,2.857142857142857,1,2.4285714285714284,8,5.285714285714286
